index,country,fertility,life_expect,n_fertility,n_life_expect,p_fertility,p_life_expect,year
312,,India,5.6058,47.193,5.264,50.651,5.8216,43.605,1965
313,,India,5.264,50.651,4.8888,54.208,5.6058,47.193,1970
314,,India,4.8888,54.208,4.4975,56.596,5.264,50.651,1975
315,,India,4.4975,56.596,4.15,58.553,4.8888,54.208,1980
316,,India,4.15,58.553,3.8648,60.223,4.4975,56.596,1985
317,,India,3.8648,60.223,3.4551,61.765,4.15,58.553,1990
318,,India,3.4551,61.765,3.1132,62.879,3.8648,60.223,1995
319,,India,3.1132,62.879,,,3.4551,61.765,2000
320,,Indonesia,5.672,39.918,5.62,42.518,,,1955
321,,Indonesia,5.62,42.518,5.568,45.964,5.672,39.918,1960
322,,Indonesia,5.568,45.964,5.3,49.203,5.62,42.518,1965
323,,Indonesia,5.3,49.203,4.73,52.702,5.568,45.964,1970
324,,Indonesia,4.73,52.702,4.109,56.159,5.3,49.203,1975
325,,Indonesia,4.109,56.159,3.4,60.137,4.73,52.702,1980
326,,Indonesia,3.4,60.137,2.9,62.681,4.109,56.159,1985
327,,Indonesia,2.9,62.681,2.55,66.041,3.4,60.137,1990
328,,Indonesia,2.55,66.041,2.3761,68.588,2.9,62.681,1995
329,,Indonesia,2.3761,68.588,,,2.55,66.041,2000
330,,Iran,7.0,47.181,7.0,49.325,,,1955
331,,Iran,7.0,49.325,6.8,52.469,7.0,47.181,1960
332,,Iran,6.8,52.469,6.4,55.234,7.0,49.325,1965
333,,Iran,6.4,55.234,6.5,57.702,6.8,52.469,1970
334,,Iran,6.5,57.702,6.63,59.62,6.4,55.234,1975
335,,Iran,6.63,59.62,5.62,63.04,6.5,57.702,1980
336,,Iran,5.62,63.04,4.328,65.742,6.63,59.62,1985
337,,Iran,4.328,65.742,2.534,68.042,5.62,63.04,1990
338,,Iran,2.534,68.042,2.124,69.451,4.328,65.742,1995
339,,Iran,2.124,69.451,,,2.534,68.042,2000
340,,Iraq,7.3,48.437,7.25,51.457,,,1955
341,,Iraq,7.25,51.457,7.2,54.459,7.3,48.437,1960
342,,Iraq,7.2,54.459,7.15,56.95,7.25,51.457,1965
343,,Iraq,7.15,56.95,6.8,60.413,7.2,54.459,1970
344,,Iraq,6.8,60.413,6.35,62.038,7.15,56.95,1975
345,,Iraq,6.35,62.038,6.15,65.044,6.8,60.413,1980
346,,Iraq,6.15,65.044,5.7,59.461,6.35,62.038,1985
347,,Iraq,5.7,59.461,5.37,58.811,6.15,65.044,1990
348,,Iraq,5.37,58.811,4.858,57.046,5.7,59.461,1995
349,,Iraq,4.858,57.046,,,5.37,58.811,2000
350,,Ireland,3.68,68.9,3.979,70.29,,,1955
351,,Ireland,3.979,70.29,3.873,71.08,3.68,68.9,1960
352,,Ireland,3.873,71.08,3.815,71.28,3.979,70.29,1965
353,,Ireland,3.815,71.28,3.478,72.03,3.873,71.08,1970
354,,Ireland,3.478,72.03,2.877,73.1,3.815,71.28,1975
355,,Ireland,2.877,73.1,2.287,74.36,3.478,72.03,1980
356,,Ireland,2.287,74.36,1.9689999999999999,75.467,2.877,73.1,1985
357,,Ireland,1.9689999999999999,75.467,1.9,76.122,2.287,74.36,1990
358,,Ireland,1.9,76.122,1.9689999999999999,77.783,1.9689999999999999,75.467,1995
359,,Ireland,1.9689999999999999,77.783,,,1.9,76.122,2000
360,,Israel,3.893,67.84,3.852,69.39,,,1955
361,,Israel,3.852,69.39,3.79,70.75,3.893,67.84,1960
362,,Israel,3.79,70.75,3.77,71.63,3.852,69.39,1965
363,,Israel,3.77,71.63,3.409,73.06,3.79,70.75,1970
364,,Israel,3.409,73.06,3.125,74.45,3.77,71.63,1975
365,,Israel,3.125,74.45,3.051,75.6,3.409,73.06,1980
366,,Israel,3.051,75.6,2.933,76.93,3.125,74.45,1985
367,,Israel,2.933,76.93,2.942,78.269,3.051,75.6,1990
368,,Israel,2.942,78.269,2.906,79.696,2.933,76.93,1995
369,,Israel,2.906,79.696,,,2.942,78.269,2000
370,,Italy,2.35,67.81,2.498,69.24,,,1955
371,,Italy,2.498,69.24,2.493,71.06,2.35,67.81,1960
372,,Italy,2.493,71.06,2.325,72.19,2.498,69.24,1965
373,,Italy,2.325,72.19,1.889,73.48,2.493,71.06,1970
374,,Italy,1.889,73.48,1.53,74.98,2.325,72.19,1975
375,,Italy,1.53,74.98,1.349,76.42,1.889,73.48,1980
376,,Italy,1.349,76.42,1.275,77.44,1.53,74.98,1985
377,,Italy,1.275,77.44,1.213,78.82,1.349,76.42,1990
378,,Italy,1.213,78.82,1.286,80.24,1.275,77.44,1995
379,,Italy,1.286,80.24,,,1.213,78.82,2000
380,,Jamaica,5.08,62.61,5.64,65.61,,,1955
381,,Jamaica,5.64,65.61,5.78,67.51,5.08,62.61,1960
382,,Jamaica,5.78,67.51,5.0,69.0,5.64,65.61,1965
383,,Jamaica,5.0,69.0,4.0,70.11,5.78,67.51,1970
384,,Jamaica,4.0,70.11,3.55,71.21,5.0,69.0,1975
385,,Jamaica,3.55,71.21,3.1,71.77,4.0,70.11,1980
386,,Jamaica,3.1,71.77,2.84,71.766,3.55,71.21,1985
387,,Jamaica,2.84,71.766,2.67,72.262,3.1,71.77,1990
388,,Jamaica,2.67,72.262,2.628,72.047,2.84,71.766,1995
389,,Jamaica,2.628,72.047,,,2.67,72.262,2000
390,,Japan,2.08,65.5,2.02,68.73,,,1955
391,,Japan,2.02,68.73,2.0,71.43,2.08,65.5,1960
392,,Japan,2.0,71.43,2.07,73.42,2.02,68.73,1965
393,,Japan,2.07,73.42,1.81,75.38,2.0,71.43,1970
394,,Japan,1.81,75.38,1.76,77.11,2.07,73.42,1975
395,,Japan,1.76,77.11,1.6600000000000001,78.67,1.81,75.38,1980
396,,Japan,1.6600000000000001,78.67,1.49,79.36,1.76,77.11,1985
397,,Japan,1.49,79.36,1.3900000000000001,80.69,1.6600000000000001,78.67,1990
398,,Japan,1.3900000000000001,80.69,1.291,82.0,1.49,79.36,1995
399,,Japan,1.291,82.0,,,1.3900000000000001,80.69,2000
400,,Kenya,7.816,44.686,8.12,47.949,,,1955
401,,Kenya,8.12,47.949,8.12,50.654,7.816,44.686,1960
402,,Kenya,8.12,50.654,8.0,53.559,8.12,47.949,1965
403,,Kenya,8.0,53.559,7.6,56.155,8.12,50.654,1970
404,,Kenya,7.6,56.155,7.2,58.766,8.0,53.559,1975
405,,Kenya,7.2,58.766,6.5,59.339,7.6,56.155,1980
406,,Kenya,6.5,59.339,5.4,59.285,7.2,58.766,1985
407,,Kenya,5.4,59.285,5.0,54.407,6.5,59.339,1990
408,,Kenya,5.0,54.407,5.0,50.992,5.4,59.285,1995
409,,Kenya,5.0,50.992,,,5.0,54.407,2000
410,,South Korea,3.8,54.081,3.41,56.656,,,1955
411,,South Korea,3.41,56.656,4.09,59.942,3.8,54.081,1960
412,,South Korea,4.09,59.942,3.7199999999999998,63.983,3.41,56.656,1965
413,,South Korea,3.7199999999999998,63.983,2.58,67.159,4.09,59.942,1970
414,,South Korea,2.58,67.159,2.93,69.1,3.7199999999999998,63.983,1975
415,,South Korea,2.93,69.1,2.45,70.647,2.58,67.159,1980
416,,South Korea,2.45,70.647,2.35,69.978,2.93,69.1,1985
417,,South Korea,2.35,69.978,2.0938,67.727,2.45,70.647,1990
418,,South Korea,2.0938,67.727,1.9173,66.662,2.35,69.978,1995
419,,South Korea,1.9173,66.662,,,2.0938,67.727,2000
420,,North Korea,6.332,52.681,5.63,55.292,,,1955
421,,North Korea,5.63,55.292,4.708,57.716,6.332,52.681,1960
422,,North Korea,4.708,57.716,4.281,62.612,5.63,55.292,1965
423,,North Korea,4.281,62.612,2.919,64.766,4.708,57.716,1970
424,,North Korea,2.919,64.766,2.234,67.123,4.281,62.612,1975
425,,North Korea,2.234,67.123,1.601,69.81,2.919,64.766,1980
426,,North Korea,1.601,69.81,1.6960000000000002,72.244,2.234,67.123,1985
427,,North Korea,1.6960000000000002,72.244,1.514,74.647,1.601,69.81,1990
428,,North Korea,1.514,74.647,1.242,77.045,1.6960000000000002,72.244,1995
429,,North Korea,1.242,77.045,,,1.514,74.647,2000
430,,Lebanon,5.72,59.489,5.689,62.094,,,1955
431,,Lebanon,5.689,62.094,5.336,63.87,5.72,59.489,1960
432,,Lebanon,5.336,63.87,4.78,65.421,5.689,62.094,1965
433,,Lebanon,4.78,65.421,4.311,66.099,5.336,63.87,1970
434,,Lebanon,4.311,66.099,3.895,66.983,4.78,65.421,1975
435,,Lebanon,3.895,66.983,3.313,67.926,4.311,66.099,1980
436,,Lebanon,3.313,67.926,3.0,69.292,3.895,66.983,1985
437,,Lebanon,3.0,69.292,2.6950000000000003,70.265,3.313,67.926,1990
438,,Lebanon,2.6950000000000003,70.265,2.319,71.028,3.0,69.292,1995
439,,Lebanon,2.319,71.028,,,2.6950000000000003,70.265,2000
440,,Mexico,6.8,55.19,6.7495,58.299,,,1955
441,,Mexico,6.7495,58.299,6.7495,60.11,6.8,55.19,1960
442,,Mexico,6.7495,60.11,6.5,62.361,6.7495,58.299,1965
443,,Mexico,6.5,62.361,5.2505,65.032,6.7495,60.11,1970
444,,Mexico,5.2505,65.032,4.25,67.405,6.5,62.361,1975
445,,Mexico,4.25,67.405,3.6295,69.498,5.2505,65.032,1980
446,,Mexico,3.6295,69.498,3.1905,71.455,4.25,67.405,1985
447,,Mexico,3.1905,71.455,2.6705,73.67,3.6295,69.498,1990
448,,Mexico,2.6705,73.67,2.4005,74.902,3.1905,71.455,1995
449,,Mexico,2.4005,74.902,,,2.6705,73.67,2000
450,,Netherlands,3.095,72.99,3.168,73.23,,,1955
451,,Netherlands,3.168,73.23,2.797,73.82,3.095,72.99,1960
452,,Netherlands,2.797,73.82,2.059,73.75,3.168,73.23,1965
453,,Netherlands,2.059,73.75,1.596,75.24,2.797,73.82,1970
454,,Netherlands,1.596,75.24,1.5150000000000001,76.05,2.059,73.75,1975
455,,Netherlands,1.5150000000000001,76.05,1.5550000000000002,76.83,1.596,75.24,1980
456,,Netherlands,1.5550000000000002,76.83,1.583,77.42,1.5150000000000001,76.05,1985
457,,Netherlands,1.583,77.42,1.6,78.03,1.5550000000000002,76.83,1990
458,,Netherlands,1.6,78.03,1.726,78.53,1.583,77.42,1995
459,,Netherlands,1.726,78.53,,,1.6,78.03,2000
460,,New Zealand,4.07,70.26,4.022,71.24,,,1955
461,,New Zealand,4.022,71.24,3.348,71.52,4.07,70.26,1960
462,,New Zealand,3.348,71.52,2.843,71.89,4.022,71.24,1965
463,,New Zealand,2.843,71.89,2.178,72.22,3.348,71.52,1970
464,,New Zealand,2.178,72.22,1.963,73.84,2.843,71.89,1975
465,,New Zealand,1.963,73.84,2.053,74.32,2.178,72.22,1980
466,,New Zealand,2.053,74.32,2.061,76.33,1.963,73.84,1985
467,,New Zealand,2.061,76.33,1.952,77.55,2.053,74.32,1990
468,,New Zealand,1.952,77.55,1.964,79.11,2.061,76.33,1995
469,,New Zealand,1.964,79.11,,,1.952,77.55,2000
470,,Nigeria,6.9,37.802,6.9,39.36,,,1955
471,,Nigeria,6.9,39.36,6.9,41.04,6.9,37.802,1960
472,,Nigeria,6.9,41.04,6.9,42.821,6.9,39.36,1965
473,,Nigeria,6.9,42.821,6.9,44.514,6.9,41.04,1970
474,,Nigeria,6.9,44.514,6.9,45.826,6.9,42.821,1975
475,,Nigeria,6.9,45.826,6.834,46.886,6.9,44.514,1980
476,,Nigeria,6.834,46.886,6.635,47.472,6.9,45.826,1985
477,,Nigeria,6.635,47.472,6.246,47.464,6.834,46.886,1990
478,,Nigeria,6.246,47.464,5.845,46.608,6.635,47.472,1995
479,,Nigeria,5.845,46.608,,,6.246,47.464,2000
480,,Norway,2.8369999999999997,73.44,2.898,73.47,,,1955
481,,Norway,2.898,73.47,2.719,74.08,2.8369999999999997,73.44,1960
482,,Norway,2.719,74.08,2.248,74.34,2.898,73.47,1965
483,,Norway,2.248,74.34,1.81,75.37,2.719,74.08,1970
484,,Norway,1.81,75.37,1.687,75.97,2.248,74.34,1975
485,,Norway,1.687,75.97,1.8,75.89,1.81,75.37,1980
486,,Norway,1.8,75.89,1.8860000000000001,77.32,1.687,75.97,1985
487,,Norway,1.8860000000000001,77.32,1.853,78.32,1.8,75.89,1990
488,,Norway,1.853,78.32,1.8010000000000002,79.05,1.8860000000000001,77.32,1995
489,,Norway,1.8010000000000002,79.05,,,1.853,78.32,2000
490,,Pakistan,6.6,45.557,6.6,47.67,,,1955
491,,Pakistan,6.6,47.67,6.6,49.8,6.6,45.557,1960
492,,Pakistan,6.6,49.8,6.6,51.929,6.6,47.67,1965
493,,Pakistan,6.6,51.929,6.6,54.043,6.6,49.8,1970
494,,Pakistan,6.6,54.043,6.6,56.158,6.6,51.929,1975
495,,Pakistan,6.6,56.158,6.66,58.245,6.6,54.043,1980
496,,Pakistan,6.66,58.245,5.8,60.838,6.6,56.158,1985
497,,Pakistan,5.8,60.838,4.9596,61.818,6.66,58.245,1990
498,,Pakistan,4.9596,61.818,3.9936,63.61,5.8,60.838,1995
499,,Pakistan,3.9936,63.61,,,4.9596,61.818,2000
500,,Peru,6.853,46.263,6.853,49.096,,,1955
501,,Peru,6.853,49.096,6.5600000000000005,51.445,6.853,46.263,1960
502,,Peru,6.5600000000000005,51.445,6.0,55.448,6.853,49.096,1965
503,,Peru,6.0,55.448,5.378,58.447,6.5600000000000005,51.445,1970
504,,Peru,5.378,58.447,4.65,61.406,6.0,55.448,1975
505,,Peru,4.65,61.406,4.1,64.134,5.378,58.447,1980
506,,Peru,4.1,64.134,3.7,66.458,4.65,61.406,1985
507,,Peru,3.7,66.458,3.0995,68.386,4.1,64.134,1990
508,,Peru,3.0995,68.386,2.7005,69.906,3.7,66.458,1995
509,,Peru,2.7005,69.906,,,3.0995,68.386,2000
510,,Philippines,7.13,51.334,6.85,54.757,,,1955
511,,Philippines,6.85,54.757,6.5,56.393,7.13,51.334,1960
512,,Philippines,6.5,56.393,6.0,58.065,6.85,54.757,1965
513,,Philippines,6.0,58.065,5.5,60.06,6.5,56.393,1970
514,,Philippines,5.5,60.06,4.95,62.082,6.0,58.065,1975
515,,Philippines,4.95,62.082,4.55,64.151,5.5,60.06,1980
516,,Philippines,4.55,64.151,4.143,66.458,4.95,62.082,1985
517,,Philippines,4.143,66.458,3.7248,68.564,4.55,64.151,1990
518,,Philippines,3.7248,68.564,3.5436,70.303,4.143,66.458,1995
519,,Philippines,3.5436,70.303,,,3.7248,68.564,2000
520,,Poland,3.29,65.77,2.65,67.64,,,1955
521,,Poland,2.65,67.64,2.27,69.61,3.29,65.77,1960
522,,Poland,2.27,69.61,2.25,70.85,2.65,67.64,1965
523,,Poland,2.25,70.85,2.26,70.67,2.27,69.61,1970
524,,Poland,2.26,70.67,2.33,71.32,2.25,70.85,1975
525,,Poland,2.33,71.32,2.15,70.98,2.26,70.67,1980
526,,Poland,2.15,70.98,1.8900000000000001,70.99,2.33,71.32,1985
527,,Poland,1.8900000000000001,70.99,1.478,72.75,2.15,70.98,1990
528,,Poland,1.478,72.75,1.251,74.67,1.8900000000000001,70.99,1995
529,,Poland,1.251,74.67,,,1.478,72.75,2000
530,,Portugal,3.03,61.51,3.074,64.39,,,1955
531,,Portugal,3.074,64.39,2.849,66.6,3.03,61.51,1960
532,,Portugal,2.849,66.6,2.748,69.26,3.074,64.39,1965
533,,Portugal,2.748,69.26,2.41,70.41,2.849,66.6,1970
534,,Portugal,2.41,70.41,1.982,72.77,2.748,69.26,1975
535,,Portugal,1.982,72.77,1.5939999999999999,74.06,2.41,70.41,1980
536,,Portugal,1.5939999999999999,74.06,1.516,74.86,1.982,72.77,1985
537,,Portugal,1.516,74.86,1.475,75.97,1.5939999999999999,74.06,1990
538,,Portugal,1.475,75.97,1.454,77.29,1.516,74.86,1995
539,,Portugal,1.454,77.29,,,1.475,75.97,2000
540,,Rwanda,8.0,41.5,8.1,43.0,,,1955
541,,Rwanda,8.1,43.0,8.2,44.1,8.0,41.5,1960
542,,Rwanda,8.2,44.1,8.29,44.6,8.1,43.0,1965
543,,Rwanda,8.29,44.6,8.492,45.0,8.2,44.1,1970
544,,Rwanda,8.492,45.0,8.5,46.218,8.29,44.6,1975
545,,Rwanda,8.5,46.218,8.25,44.02,8.492,45.0,1980
546,,Rwanda,8.25,44.02,6.9,23.599,8.5,46.218,1985
547,,Rwanda,6.9,23.599,6.0993,36.087,8.25,44.02,1990
548,,Rwanda,6.0993,36.087,6.01,43.413,6.9,23.599,1995
549,,Rwanda,6.01,43.413,,,6.0993,36.087,2000
550,,Saudi Arabia,7.175,42.868,7.257,45.914,,,1955
551,,Saudi Arabia,7.257,45.914,7.257,49.901,7.175,42.868,1960
552,,Saudi Arabia,7.257,49.901,7.298,53.886,7.257,45.914,1965
553,,Saudi Arabia,7.298,53.886,7.2780000000000005,58.69,7.257,49.901,1970
554,,Saudi Arabia,7.2780000000000005,58.69,7.015,63.012,7.298,53.886,1975
555,,Saudi Arabia,7.015,63.012,6.217,66.295,7.2780000000000005,58.69,1980
556,,Saudi Arabia,6.217,66.295,5.446,68.768,7.015,63.012,1985
557,,Saudi Arabia,5.446,68.768,4.621,70.533,6.217,66.295,1990
558,,Saudi Arabia,4.621,70.533,3.81,71.626,5.446,68.768,1995
559,,Saudi Arabia,3.81,71.626,,,4.621,70.533,2000
560,,South Africa,6.5,47.985,6.3,49.951,,,1955
561,,South Africa,6.3,49.951,5.7,51.927,6.5,47.985,1960
562,,South Africa,5.7,51.927,5.47,53.696,6.3,49.951,1965
563,,South Africa,5.47,53.696,5.0,55.527,5.7,51.927,1970
564,,South Africa,5.0,55.527,4.556,58.161,5.47,53.696,1975
565,,South Africa,4.556,58.161,3.85,60.834,5.0,55.527,1980
566,,South Africa,3.85,60.834,3.343,61.888,4.556,58.161,1985
567,,South Africa,3.343,61.888,2.954,60.236,3.85,60.834,1990
568,,South Africa,2.954,60.236,2.802,53.365,3.343,61.888,1995
569,,South Africa,2.802,53.365,,,2.954,60.236,2000
570,,Spain,2.75,66.66,2.89,69.69,,,1955
571,,Spain,2.89,69.69,2.92,71.44,2.75,66.66,1960
572,,Spain,2.92,71.44,2.86,73.06,2.89,69.69,1965
573,,Spain,2.86,73.06,2.5700000000000003,74.39,2.92,71.44,1970
574,,Spain,2.5700000000000003,74.39,1.8900000000000001,76.3,2.86,73.06,1975
575,,Spain,1.8900000000000001,76.3,1.48,76.9,2.5700000000000003,74.39,1980
576,,Spain,1.48,76.9,1.27,77.57,1.8900000000000001,76.3,1985
577,,Spain,1.27,77.57,1.182,78.77,1.48,76.9,1990
578,,Spain,1.182,78.77,1.287,79.78,1.27,77.57,1995
579,,Spain,1.287,79.78,,,1.182,78.77,2000
580,,Switzerland,2.34,70.56,2.51,71.32,,,1955
581,,Switzerland,2.51,71.32,2.27,72.77,2.34,70.56,1960
582,,Switzerland,2.27,72.77,1.82,73.78,2.51,71.32,1965
583,,Switzerland,1.82,73.78,1.53,75.39,2.27,72.77,1970
584,,Switzerland,1.53,75.39,1.53,76.21,1.82,73.78,1975
585,,Switzerland,1.53,76.21,1.53,77.41,1.53,75.39,1980
586,,Switzerland,1.53,77.41,1.54,78.03,1.53,76.21,1985
587,,Switzerland,1.54,78.03,1.47,79.37,1.53,77.41,1990
588,,Switzerland,1.47,79.37,1.415,80.62,1.54,78.03,1995
589,,Switzerland,1.415,80.62,,,1.47,79.37,2000
590,,Turkey,6.6,48.079,6.19,52.098,,,1955
591,,Turkey,6.19,52.098,5.7,54.336,6.6,48.079,1960
592,,Turkey,5.7,54.336,5.3,57.005,6.19,52.098,1965
593,,Turkey,5.3,57.005,4.715,59.507,5.7,54.336,1970
594,,Turkey,4.715,59.507,4.15,61.036,5.3,57.005,1975
595,,Turkey,4.15,61.036,3.276,63.108,4.715,59.507,1980
596,,Turkey,3.276,63.108,2.904,66.146,4.15,61.036,1985
597,,Turkey,2.904,66.146,2.574,68.835,3.276,63.108,1990
598,,Turkey,2.574,68.835,2.23,70.845,2.904,66.146,1995
599,,Turkey,2.23,70.845,,,2.574,68.835,2000
600,,United Kingdom,2.49,70.42,2.81,70.76,,,1955
601,,United Kingdom,2.81,70.76,2.52,71.36,2.49,70.42,1960
602,,United Kingdom,2.52,71.36,2.04,72.01,2.81,70.76,1965
603,,United Kingdom,2.04,72.01,1.72,72.76,2.52,71.36,1970
604,,United Kingdom,1.72,72.76,1.8,74.04,2.04,72.01,1975
605,,United Kingdom,1.8,74.04,1.81,75.007,1.72,72.76,1980
606,,United Kingdom,1.81,75.007,1.78,76.42,1.8,74.04,1985
607,,United Kingdom,1.78,76.42,1.7000000000000002,77.218,1.81,75.007,1990
608,,United Kingdom,1.7000000000000002,77.218,1.695,78.471,1.78,76.42,1995
609,,United Kingdom,1.695,78.471,,,1.7000000000000002,77.218,2000
610,,United States,3.706,69.49,3.314,70.21,,,1955
611,,United States,3.314,70.21,2.545,70.76,3.706,69.49,1960
612,,United States,2.545,70.76,2.016,71.34,3.314,70.21,1965
613,,United States,2.016,71.34,1.788,73.38,2.545,70.76,1970
614,,United States,1.788,73.38,1.8250000000000002,74.65,2.016,71.34,1975
615,,United States,1.8250000000000002,74.65,1.924,75.02,1.788,73.38,1980
616,,United States,1.924,75.02,2.025,76.09,1.8250000000000002,74.65,1985
617,,United States,2.025,76.09,1.994,76.81,1.924,75.02,1990
618,,United States,1.994,76.81,2.038,77.31,2.025,76.09,1995
619,,United States,2.038,77.31,,,1.994,76.81,2000
620,,Venezuela,6.4585,57.907,6.657,60.77,,,1955
621,,Venezuela,6.657,60.77,5.9045000000000005,63.479,6.4585,57.907,1960
622,,Venezuela,5.9045000000000005,63.479,4.941,65.712,6.657,60.77,1965
623,,Venezuela,4.941,65.712,4.4685,67.456,5.9045000000000005,63.479,1970
624,,Venezuela,4.4685,67.456,3.957,68.557,4.941,65.712,1975
625,,Venezuela,3.957,68.557,3.6485000000000003,70.19,4.4685,67.456,1980
626,,Venezuela,3.6485000000000003,70.19,3.25,71.15,3.957,68.557,1985
627,,Venezuela,3.25,71.15,2.9415,72.146,3.6485000000000003,70.19,1990
628,,Venezuela,2.9415,72.146,2.723,72.766,3.25,71.15,1995
629,,Venezuela,2.723,72.766,,,2.9415,72.146,2000
