Task,Start,Finish,Category
Avengers: Infinity War,2018-08-04 7:00,2018-08-04 9:00,Action
Inception,2018-08-04 9:00,2018-08-04 11:00,Thriller
The Dark Knight,2018-08-04 10:00,2018-08-04 12:00,Thriller
Deception,2018-08-04 11:30,2018-08-04 13:30,Suspense
Looper,2018-08-04 12:00,2018-08-04 14:00,Science_Fiction
Aliens,2018-08-04 13:30,2018-08-04 15:30,Horror
Source code,2018-08-04 16:00,2018-08-04 18:00,Mystery
The Terminator,2018-08-04 17:00,2018-08-04 19:00,Action
Behind Enemy Lines,2018-08-04 18:30,2018-08-04 20:30,Drama
Inception,2018-08-04 19:00,2018-08-04 21:00,Thriller
Me Before You,2018-08-04 21:30,2018-08-04 23:30,Romance
Just Go with It,2018-08-04 21:00,2018-08-04 23:00,Comedy