Model,Release date,Max resolution,Low resolution,Effective pixels,Zoom wide (W),Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries)
HP Photosmart M22,2005,2320,1600,4,36,36,0,0,16,172
HP Photosmart M23,2005,2320,1600,4,36,36,0,10,16,172
HP Photosmart M307,2004,2080,1280,3,40,111,80,10,16,177
HP Photosmart M407,2004,2320,1280,4,40,111,50,10,16,190
HP Photosmart M417,2005,2576,2048,5,36,108,50,12,16,181
HP Photosmart M425,2006,2576,2080,5,38,114,50,12,32,172
HP Photosmart M437,2007,2576,0,5,38,114,50,10,16,190
HP Photosmart M517,2005,2576,2048,5,36,108,80,12,16,190
HP Photosmart M525,2006,2800,2288,6,38,114,50,12,16,192
HP Photosmart M527,2006,2800,2288,6,38,114,50,12,16,227
HP Photosmart M537,2007,2848,0,6,38,114,50,0,32,157
HP Photosmart Mz67,2007,3264,0,8,35,210,0,14,32,157
HP Photosmart R507,2004,2320,1280,4,35,105,50,6,32,205
HP Photosmart R607,2004,2320,1280,4,35,105,50,14,32,205
HP Photosmart R707,2004,2608,1296,5,39,117,50,14,32,150
HP Photosmart R717,2005,2864,2592,6,39,117,50,10,32,150
HP Photosmart R725,2006,2864,2592,6,39,118,50,10,32,136
HP Photosmart R727,2006,2864,2592,6,39,118,50,5,32,190
HP Photosmart R742,2007,3096,0,7,36,108,50,3,32,190
HP Photosmart R817,2005,2592,2048,5,36,180,20,3,32,205
HP Photosmart R818,2005,2592,2048,5,36,180,20,1,32,200
HP Photosmart R837,2007,3112,0,7,39,118,50,12,32,227
HP Photosmart R927,2006,3296,2592,8,35,105,50,10,,
HP Photosmart R937,2007,3298,0,8,39,118,50,,,
JVC GC-QX3HD,2001,2032,1024,3,37,86,50,2,8,320
JVC GC-QX5HD,2001,2032,1024,3,37,86,50,2,16,320
Kodak C300,2005,2096,0,3,37,37,80,0,16,198
Kodak C310,2005,2336,2313,4,35,35,85,85,16,154
Kodak C330,2005,2336,2304,4,34,102,60,13,16,180
Kodak C340,2005,2576,0,5,34,102,60,13,16,198
Kodak C360,2005,2690,2569,5,34,102,60,7,32,170
Kodak C433,2006,2304,2048,4,36,108,60,10,16,180
Kodak C513,2007,2572,2048,5,36,108,60,13,16,188
Kodak C533,2006,2576,2048,5,37,111,60,10,16,200
Kodak C613,2007,2848,2048,6,36,108,60,13,16,187
Kodak C643,2006,2848,2304,6,36,108,60,13,22,195
Kodak C653,2007,2848,2304,6,36,108,60,10,22,195
Kodak C663,2006,2832,2304,6,34,102,60,5,32,190
Kodak C743,2006,3072,2304,7,37,111,60,13,32,195
Kodak C763,2007,3072,2592,7,35,105,60,5,32,180
Kodak C875,2006,3264,2560,8,37,185,60,10,32,225
Kodak CX4200,2002,1632,0,2,37,37,75,20,16,250
Kodak CX4230,2002,1632,0,2,36,108,50,10,16,280
Kodak CX4300,2002,2080,0,3,38,76,30,15,16,250
Kodak CX6200,2003,1632,0,2,37,37,50,50,8,195
Kodak CX6230,2003,1632,0,2,36,108,50,50,16,225
Kodak CX6330,2003,2032,0,3,37,111,60,60,16,225
Kodak CX7220,2004,0,0,2,37,78,50,60,16,195
Kodak CX7300,2004,2096,0,3,37,37,80,0,16,162
Kodak CX7330,2004,2032,0,3,37,111,60,13,16,225
Kodak CX7430,2004,2408,0,4,34,102,60,10,16,198
Kodak CX7530,2004,2560,0,4,34,102,60,10,32,240
Kodak DC200,1998,1152,640,0,39,39,70,0,4,400
Kodak DC200 plus,1999,1152,640,0,39,39,70,0,4,400
Kodak DC210 plus,1998,1152,640,0,29,58,50,20,8,400
Kodak DC215,1999,1152,640,0,29,58,50,20,4,320
Kodak DC220,1998,1152,640,0,29,58,50,20,8,550
Kodak DC240,1999,1280,640,1,39,117,50,25,8,420
Kodak DC260,1998,1536,768,1,38,115,30,0,8,550
Kodak DC265,1999,1536,768,1,38,115,30,0,16,550
Kodak DC280,1999,1760,896,2,30,60,50,25,20,420
Kodak DC290,1999,1792,1440,2,38,115,30,0,20,550
Kodak DC3200,2000,1152,576,0,39,39,60,0,2,240
Kodak DC3400,2000,1760,896,2,38,76,50,25,20,420
Kodak DC3800,2000,1760,896,2,33,33,50,20,0,200
Kodak DC4800,2000,2160,1800,3,28,84,50,20,16,320
Kodak DC5000,2000,1760,896,2,30,60,50,20,16,459
Kodak DCS 14n,2002,4536,3024,13,0,0,0,0,0,1000
Kodak DCS315,1998,1520,0,1,0,0,0,0,0,1800
Kodak DCS330,1999,2008,0,3,0,0,0,0,0,1080
Kodak DCS420,1994,1524,0,1,0,0,0,0,0,1700
Kodak DCS460,1995,3060,0,6,0,0,0,0,0,1700
Kodak DCS520,1998,1728,0,2,0,0,0,0,0,1650
Kodak DCS560,1998,3040,0,6,0,0,0,0,0,1650
Kodak DCS620,1999,1728,0,2,0,0,0,0,0,1580
Kodak DCS620x,2000,1728,0,2,0,0,0,0,0,1580
Kodak DCS660,1999,3040,0,6,0,0,0,0,0,1580
Kodak DCS720x,2001,1728,0,2,0,0,0,0,0,1580
Kodak DCS760,2001,3032,0,6,0,0,0,0,0,1860
Kodak DCS SLR/c,2004,4500,3000,13,0,0,0,0,0,1000
Kodak DCS SLR/n,2004,4500,3000,13,0,0,0,0,0,1000
Kodak DX3215,2001,1280,0,1,30,60,75,22,8,260
Kodak DX3500,2001,1800,900,2,38,38,75,22,8,225
Kodak DX3600,2001,1800,900,2,35,70,50,28,8,250
Kodak DX3700,2001,2160,0,3,37,37,50,15,8,250
Kodak DX3900,2001,2160,1800,3,35,70,50,7,8,260
Kodak DX4330,2002,2160,1800,3,38,114,60,7,16,260
Kodak DX4530,2003,2580,0,5,38,114,60,7,32,210
Kodak DX4900,2002,2448,2160,4,35,70,50,7,16,260
Kodak DX6340,2003,2032,0,3,36,144,50,10,16,280
Kodak DX6440,2003,2304,0,4,33,132,50,10,16,270
Kodak DX6490,2003,2304,0,4,38,380,60,12,16,380
Kodak DX7440,2004,2304,2048,4,33,132,50,10,32,270
Kodak DX7590,2004,2576,2576,5,38,380,60,12,32,400
Kodak DX7630,2004,2872,0,6,39,117,60,7,32,270
Kodak Easyshare One,2005,2304,0,4,36,100,60,10,256,275
Kodak LS420,2002,1752,876,2,38,38,80,0,8,160
Kodak LS443,2002,2448,2160,4,35,105,70,13,16,260
Kodak LS633,2003,2041,0,3,37,111,60,13,16,260
Kodak LS743,2004,2304,0,4,36,100,60,12,16,220
Kodak LS753,2004,2569,0,5,36,108,60,12,32,220
Kodak LS755,2004,2592,2288,5,36,108,70,5,16,210
Kodak M753,2007,3056,2592,7,37,111,40,7,16,165
Kodak M853,2007,3296,2592,8,37,111,40,7,16,165
Kodak M873,2007,3264,2592,8,38,114,70,10,32,160
Kodak M883,2007,3280,0,8,38,114,70,10,64,166
Kodak mc3,2001,640,0,0,37,37,70,0,16,198
Kodak P712,2006,3072,2592,7,36,432,50,10,32,440
Kodak P850,2005,2592,2048,5,36,432,10,10,32,450
Kodak P880,2005,3264,2560,8,24,140,10,5,32,570
Kodak V1003,2007,3648,2560,10,36,108,60,5,24,185
Kodak V530,2005,2569,2576,5,36,108,60,7,16,150
Kodak V550,2005,2569,2576,5,36,108,60,7,32,160
Kodak V570,2006,2569,2576,5,39,117,0,0,32,175
Kodak V610,2006,2832,2304,6,38,380,0,0,32,195
Kodak V705,2006,3072,2576,7,23,117,60,5,32,165
Kodak V803,2007,3264,2560,8,36,108,60,5,24,185
Kodak Z1275,2007,4000,2832,12,35,175,60,10,64,211
Kodak Z612,2006,2848,2304,6,35,420,50,10,32,330
Kodak Z650,2006,2848,2304,6,38,380,60,12,32,320
Kodak Z700,2005,2304,0,4,35,175,60,10,16,270
Kodak Z710,2006,3072,2592,7,38,380,60,12,32,360
Kodak Z712,2007,3072,2592,7,36,423,60,13,32,350
Kodak Z730,2005,2576,2304,5,33,132,50,10,32,270
Kodak Z740,2005,2576,2304,5,38,380,60,12,32,330
Kodak Z7590,2005,2576,2576,5,38,380,60,12,32,400
Kodak Z760,2005,2872,2856,6,39,117,60,7,32,259
Kodak Z885,2007,3264,2592,8,36,180,60,7,32,211
Kyocera Finecam 3300,2000,2048,1024,3,38,76,60,10,8,240
Kyocera Finecam L30,2003,2048,1024,3,38,115,60,20,16,220
Kyocera Finecam L3V,2003,2048,1600,3,38,115,60,20,16,220
Kyocera Finecam L4V,2003,2304,1600,4,35,105,60,20,16,220
Kyocera Finecam M400R,2004,2272,1600,4,37,370,60,10,0,340
Kyocera Finecam M410R,2004,2272,1600,4,37,370,60,10,0,340
Kyocera Finecam S3,2001,2048,1024,3,38,76,30,6,16,160
Kyocera Finecam S3L,2002,2048,1600,3,35,105,55,12,16,205
Kyocera Finecam S3R,2003,2048,1600,3,35,105,60,17,16,205
Kyocera Finecam S3x,2002,2048,1024,3,35,105,55,12,16,175
Kyocera Finecam S4,2002,2272,1280,3,35,105,55,12,16,175
Kyocera Finecam S5,2002,2560,1600,5,35,105,55,12,16,205
Kyocera Finecam S5R,2003,2560,1600,5,35,105,60,17,16,205
Kyocera Finecam SL300R,2003,2048,1600,3,35,115,60,20,16,175
Kyocera Finecam SL400R,2004,2272,1600,3,35,115,60,20,16,155
Leica C-LUX 1,2006,2816,2048,6,28,102,50,5,16,155
Leica Digilux,1998,1280,640,1,35,35,50,9,2,260
Leica Digilux 1,2002,2240,1600,3,33,100,30,6,32,455
Leica Digilux 2,2003,2560,2048,4,28,90,30,30,64,705
Leica Digilux 3,2006,3136,2560,7,0,0,0,0,0,606
Leica Digilux 4.3,2000,2400,1280,2,36,108,80,20,16,280
Leica Digilux Zoom,2000,1280,640,1,38,114,80,20,8,270
Leica D-LUX 2,2005,3840,3072,8,28,112,50,5,32,220
Leica D-LUX 3,2006,4224,3840,10,28,112,50,5,13,220
Leica M8,2006,3936,2952,10,0,0,0,0,0,591
Leica V-LUX 1,2006,3648,3264,10,35,420,30,5,32,734
Nikon Coolpix 100,1997,512,320,0,52,52,23,14,1,200
Nikon Coolpix 2000,2002,1632,1024,1,38,114,0,0,8,295
Nikon Coolpix 2100,2003,1600,1024,1,36,108,30,4,8,215
Nikon Coolpix 2200,2004,1600,1024,1,36,108,30,4,14,190
Nikon Coolpix 2500,2002,1600,1280,1,37,111,30,4,8,250
Nikon Coolpix 300,1997,640,0,0,45,45,23,14,4,250
Nikon Coolpix 3100,2003,2048,1600,3,38,115,30,4,16,215
Nikon Coolpix 3200,2004,2048,1600,3,38,115,30,4,14,190
Nikon Coolpix 3500,2002,2048,1600,3,37,111,30,4,8,250
Nikon Coolpix 3700,2003,2048,1600,3,35,105,30,3,16,162
Nikon Coolpix 4100,2004,2288,1600,3,35,105,0,0,14,190
Nikon Coolpix 4200,2004,2272,2048,3,38,114,30,4,12,180
Nikon Coolpix 4300,2002,2272,2048,3,38,114,30,4,16,286
Nikon Coolpix 4500,2002,2272,1280,3,38,155,30,2,16,374
Nikon Coolpix 4600,2005,2288,1600,3,34,102,30,4,14,180
Nikon Coolpix 4800,2004,2288,1600,4,36,300,40,1,13,295
Nikon Coolpix 5000,2001,2560,1600,4,28,85,50,2,32,414
Nikon Coolpix 5200,2004,2592,2048,5,38,114,30,4,12,180
Nikon Coolpix 5400,2003,2592,1600,5,28,116,50,1,16,400
Nikon Coolpix 5600,2005,2592,2048,5,34,102,30,4,14,180
Nikon Coolpix 5700,2002,2560,1600,4,35,280,50,3,32,512
Nikon Coolpix 5900,2005,2592,2048,5,38,114,30,4,13,185
Nikon Coolpix 600,1998,1024,512,0,36,36,50,14,8,220
Nikon Coolpix 700,1999,1600,640,1,35,35,30,9,8,340
Nikon Coolpix 7600,2005,3072,2592,7,38,114,30,4,14,195
Nikon Coolpix 775,2001,1600,1024,1,38,115,30,4,8,230
Nikon Coolpix 7900,2005,3072,2592,7,38,114,30,4,13,185
Nikon Coolpix 800,1999,1600,640,1,38,76,30,7,8,360
Nikon Coolpix 8400,2004,3264,2592,8,24,85,50,3,0,470
Nikon Coolpix 8700,2004,3264,2592,8,35,280,50,3,0,512
Nikon Coolpix 880,2000,2048,1024,3,38,95,40,4,8,320
Nikon Coolpix 8800,2004,3264,2592,8,35,350,50,3,0,680
Nikon Coolpix 885,2001,2048,1024,3,38,114,40,4,16,286
Nikon Coolpix 900,1998,1280,640,1,38,115,50,20,4,420
Nikon Coolpix 900S,1998,1280,640,1,38,115,50,20,8,420
Nikon Coolpix 950,1999,1600,1024,1,38,115,30,2,8,480
Nikon Coolpix 990,2000,2048,1024,3,38,115,30,2,16,450
Nikon Coolpix 995,2001,2048,1600,3,38,152,30,2,16,420
Nikon Coolpix L1,2005,2816,2048,6,38,190,50,4,10,195
Nikon Coolpix L10,2007,2560,2048,4,37,112,40,15,7,165
Nikon Coolpix L11,2007,2816,2048,6,37,112,40,15,7,175
Nikon Coolpix L12,2007,3072,2592,7,35,105,50,15,21,175
Nikon Coolpix L14,2007,3072,2048,7,38,114,60,10,23,225
Nikon Coolpix L15,2007,3264,2592,8,35,105,50,15,32,225
Nikon Coolpix L2,2006,2816,2048,6,38,116,30,10,23,170
Nikon Coolpix L3,2006,2592,2048,5,38,116,30,10,23,170
Nikon Coolpix L4,2006,2272,1600,3,38,114,30,4,10,165
Nikon Coolpix L5,2006,3072,2592,7,38,190,50,4,8,210
Nikon Coolpix L6,2006,2816,2048,6,38,116,30,10,23,175
Nikon Coolpix P1,2005,3264,2592,8,35,126,50,4,32,185
Nikon Coolpix P2,2005,2592,2048,5,35,126,50,4,16,185
Nikon Coolpix P3,2006,3264,2592,8,36,126,30,4,23,200
Nikon Coolpix P4,2006,3264,2592,8,36,126,30,4,23,200
Nikon Coolpix P50,2007,3264,3200,8,28,102,50,5,52,210
Nikon Coolpix P5000,2007,3648,2592,10,36,126,30,4,26,240
Nikon Coolpix P5100,2007,4000,3264,12,35,123,30,4,52,250
Nikon Coolpix S1,2005,2592,2048,5,35,105,30,4,12,170
Nikon Coolpix S10,2006,2816,2048,6,38,380,30,4,16,280
Nikon Coolpix S2,2005,2592,2048,5,35,105,30,4,12,160
Nikon Coolpix S200,2007,3072,2592,7,38,114,60,10,20,165
Nikon Coolpix S3,2005,2816,2048,6,35,105,30,4,12,132
Nikon Coolpix S4,2005,2816,2048,6,38,380,30,6,13,225
Nikon Coolpix S5,2006,2816,2048,6,35,105,30,4,21,165
Nikon Coolpix S50,2007,3072,2592,7,38,114,30,4,13,165
Nikon Coolpix S500,2007,3072,2592,7,35,105,50,15,26,165
Nikon Coolpix S50c,2007,3072,2592,7,38,114,30,4,13,165
Nikon Coolpix S51,2007,3264,2592,7,38,114,30,4,13,175
Nikon Coolpix S510,2007,3264,3200,8,35,105,50,15,52,125
Nikon Coolpix S51c,2007,3264,2592,7,38,114,30,4,13,175
Nikon Coolpix S6,2006,2816,2048,6,35,105,30,4,20,170
Nikon Coolpix S7c,2006,3072,2592,7,35,105,30,4,14,170
Nikon Coolpix S9,2006,2816,2048,6,38,114,25,4,24,165
Nikon Coolpix SQ,2003,2016,1600,3,37,111,30,4,16,216
Nikon D1,1999,2000,0,2,0,0,0,0,0,1200
Nikon D100,2002,3008,2240,6,0,0,0,0,0,780
Nikon D1H,2001,2000,0,2,0,0,0,0,0,1200
Nikon D1X,2001,3008,2000,5,0,0,0,0,0,1200
Nikon D200,2005,3872,2896,10,0,0,0,0,0,920
Nikon D2H,2003,2464,1840,4,0,0,0,0,0,1200
Nikon D2Hs,2005,2464,1840,4,0,0,0,0,0,1200
Nikon D2X,2004,4288,3216,12,0,0,0,0,0,1200
Nikon D2Xs,2006,4288,3216,12,0,0,0,0,0,1200
Nikon D3,2007,4256,3184,12,0,0,0,0,0,1300
Nikon D300,2007,4288,3216,12,0,0,0,0,0,925
Nikon D40,2006,3008,2256,6,0,0,0,0,0,522
Nikon D40X,2007,3872,2896,10,0,0,0,0,0,522
Nikon D50,2005,3008,2256,6,0,0,0,0,0,620
Nikon D70,2004,3008,2240,6,0,0,0,0,0,679
Nikon D70s,2005,3008,2240,6,0,0,0,0,0,679
Nikon D80,2006,3872,2896,10,0,0,0,0,0,668
Olympus C-1,2001,1280,640,1,35,35,50,10,8,190
Olympus D-370,2001,1280,1024,1,35,35,60,25,1,190
Olympus D-380,2002,1600,1024,1,35,35,60,25,8,250
Olympus D-150Z,2001,1280,640,1,38,114,50,20,8,190
Olympus C-2,2001,1600,1024,1,36,36,50,10,16,220
Olympus C-2000 Zoom,1999,1600,1024,1,35,105,80,20,8,380
Olympus D-510 Zoom,2001,1600,1024,1,35,105,80,20,8,250
Olympus C-2020 Zoom,1999,1600,1024,1,35,105,80,20,8,380
Olympus C-2040 Zoom,2000,1600,1024,1,40,120,80,20,8,380
Olympus C-21,1999,1600,1024,1,38,38,60,15,8,190
Olympus C-2100 UZ,2000,1600,1280,1,38,380,60,10,8,540
Olympus C-2500 L,1999,1712,1280,2,36,110,80,2,32,530
Olympus C-3000 Zoom,2000,2048,1600,3,32,96,80,20,8,380
Olympus C-300 Zoom,2002,1984,1600,3,36,100,80,20,16,300
Olympus C-3020 Zoom,2001,2048,1600,3,32,96,80,20,8,380
Olympus C-3030 Zoom,2000,2048,1600,3,32,96,80,20,16,380
Olympus C-3040 Zoom,2000,2048,1600,3,35,105,80,20,16,420
Olympus C-4000 Zoom,2002,2288,2048,3,32,96,80,2,16,400
Olympus C-4040 Zoom,2001,2272,2048,3,35,105,80,20,16,420
Olympus D-40 Zoom,2001,2272,2048,3,35,98,80,10,16,270
Olympus C-5000 Zoom,2003,2560,2272,4,38,114,50,4,32,280
Olympus C-5050 Zoom,2002,2560,2288,4,35,105,80,20,32,480
Olympus C-5060 Zoom,2003,2592,2288,5,27,110,80,3,32,480
Olympus C-50 Zoom,2002,2560,2048,4,38,114,50,20,32,230
Olympus C-5500 Sport Zoom,2005,2592,2288,5,38,190,60,8,16,340
Olympus C-60 Zoom,2004,2816,2560,5,38,114,40,4,32,230
Olympus C-7000 Zoom,2004,3072,2592,7,38,190,60,2,32,280
Olympus C-700 UZ,2001,1600,1280,1,38,380,60,10,8,340
Olympus C-7070 Wide Zoom,2005,3072,2592,7,27,110,80,3,32,480
Olympus C-720 UZ,2002,1984,1600,3,40,320,60,10,16,340
Olympus C-730 UZ,2002,2048,1600,3,38,380,60,10,16,400
Olympus C-740 UZ,2003,2048,1600,3,38,380,60,3,16,340
Olympus C-750 UZ,2003,2288,2048,3,38,380,60,3,16,340
Olympus C-765 UZ,2004,2288,2048,3,38,380,60,7,16,310
Olympus C-770 UZ,2004,2288,2048,3,38,380,60,7,32,310
Olympus C-8080 Wide Zoom,2004,3264,2592,8,28,140,80,5,32,724
Olympus D-200L,1996,640,320,0,36,36,75,20,2,320
Olympus D-300L,1996,1024,512,0,36,36,50,20,6,320
Olympus D-340L,1998,1280,640,1,36,36,70,10,4,320
Olympus D-340R,1999,1280,640,1,36,36,70,10,8,320
Olympus D-360L,2000,1280,640,1,36,36,50,10,8,280
Olympus D-390,2003,1600,1024,1,35,35,50,20,16,230
Olympus D-395,2004,2048,1024,3,33,33,50,20,16,210
Olympus D-400 Zoom,1998,1280,640,1,35,105,80,20,8,320
Olympus D-425,2005,2288,1600,3,37,37,50,20,14,170
Olympus D-435,2005,2592,1600,5,36,35,50,20,0,140
Olympus D-450 Zoom,1999,1280,640,1,35,105,80,20,8,320
Olympus D-460 Zoom,2000,1280,640,1,35,105,80,20,8,320
Olympus D-490 Zoom,2000,1600,640,1,35,105,80,20,8,320
Olympus D-500L,1997,1024,640,0,50,150,60,30,2,490
Olympus D-520 Zoom,2002,1600,1024,1,35,105,50,20,8,220
Olympus D-535 Zoom,2004,2048,1600,3,38,114,50,2,12,190
Olympus D-540 Zoom,2004,2048,1600,3,38,114,50,2,16,200
Olympus D-545 Zoom,2005,2288,1600,3,38,114,50,2,14,190
Olympus D-560 Zoom,2003,2048,1024,3,35,105,50,20,16,220
Olympus D-580 Zoom,2004,2288,1600,3,35,105,50,7,16,210
Olympus D-595 Zoom,2005,2560,1600,4,38,114,50,2,14,190
Olympus D-600L,1997,1280,640,1,36,110,60,30,4,0
Olympus D-620L,1998,1280,640,1,36,110,60,30,8,520
Olympus D-630 Zoom,2005,2560,1600,4,35,105,60,10,14,175
Olympus E-1,2003,2560,1600,4,0,0,0,0,0,735
Olympus E-10,2000,2240,1600,3,35,140,60,20,0,1190
Olympus E-100 RS,2000,1368,1280,1,38,380,60,10,16,603
Olympus E-20,2001,2560,1792,4,35,140,60,20,16,1190
Olympus E-3,2007,3648,3200,10,0,0,0,0,0,800
Olympus E-300,2004,3264,3200,8,0,0,0,0,0,624
Olympus E-330,2006,3136,2560,7,0,0,0,0,0,616
Olympus E-400,2006,3648,3200,10,0,0,0,0,0,435
Olympus E-410,2007,3648,3200,10,0,0,0,0,0,435
Olympus E-500,2005,3264,3200,8,0,0,0,0,0,479
Olympus E-510,2007,3648,3200,10,0,0,0,0,0,490
Olympus FE-100,2005,2272,1600,4,35,106,50,5,28,160
Olympus FE-110,2005,2560,1600,5,35,106,50,5,28,160
Olympus FE-115,2006,2560,1600,5,38,106,50,2,28,160
Olympus FE-120,2005,2816,1600,6,38,114,50,5,14,160
Olympus FE-130,2006,2592,2048,5,38,114,10,5,22,160
Olympus FE-140,2006,2816,2048,6,38,114,10,5,22,160
Olympus FE-150,2006,2560,2048,5,32,96,50,6,9,175
Olympus FE-170,2006,2816,2048,6,38,114,0,0,10,175
Olympus FE-180,2006,2816,2048,6,38,114,0,0,10,170
Olympus FE-190,2006,2816,2048,6,38,114,0,0,22,150
Olympus FE-200,2006,2816,2048,6,28,140,0,0,24,195
Olympus FE-210,2007,3072,2048,7,38,114,60,10,9,175
Olympus FE-230,2007,3072,2048,7,38,114,60,10,20,145
Olympus FE-240,2007,3072,2048,7,38,190,70,10,20,145
Olympus FE-250,2007,3264,2048,8,38,105,60,10,20,155
Olympus FE-270,2007,3072,2048,7,38,114,60,5,6,122
Olympus FE-280,2007,3264,2048,8,36,108,60,5,48,108
Olympus FE-290,2007,3072,2048,7,28,112,40,5,6,142
Olympus FE-300,2007,4000,2048,12,35,105,60,10,48,115
Olympus IR-300,2005,2560,2048,4,38,114,50,5,15,160
Olympus Stylus 300,2003,2048,1600,3,35,105,50,20,16,220
Olympus Stylus 400,2003,2272,2048,3,35,105,50,20,16,220
Olympus SP-310,2005,3072,2592,7,38,114,20,5,32,230
Olympus SP-320,2006,3072,2592,7,38,114,20,2,25,230
Olympus SP-350,2005,3264,2592,8,38,114,20,5,32,245
Olympus SP-500 UZ,2005,2816,2592,6,38,380,60,3,10,385
Olympus SP-510 UZ,2006,3072,2560,7,38,380,60,3,0,410
Olympus SP-550 UZ,2007,3072,2560,7,28,504,10,1,20,460
Olympus SP-560 UZ,2007,3264,2560,8,27,486,10,1,47,365
Olympus SP-700,2005,2816,2288,6,38,114,30,10,11,180
Olympus Stylus 1000,2006,3648,2560,10,35,105,60,10,0,195
Olympus Stylus 1200,2007,4000,3264,12,35,105,60,10,47,125
Olympus Stylus 410,2004,2272,2048,3,35,105,50,20,16,200
Olympus Stylus 500,2004,2560,2048,4,35,105,50,7,32,200
Olympus Stylus 600,2005,2816,2560,6,35,105,50,7,8,195
Olympus Stylus 700,2006,3072,2560,7,37,111,60,8,19,140
Olympus Stylus 720 SW,2006,3072,2560,7,37,111,60,8,19,190
Olympus Stylus 725 SW,2006,3072,2560,7,38,114,60,2,19,190
Olympus Stylus 730,2006,3072,2560,7,38,114,50,7,22,190
Olympus Stylus 740,2006,3072,2560,7,36,180,70,3,17,160
Olympus Stylus 750,2006,3072,2560,7,36,180,70,3,17,170
Olympus Stylus 760,2007,3072,2560,7,37,111,60,8,18,160
Olympus Stylus 770 SW,2007,3072,2560,7,38,114,50,7,18,195
Olympus Stylus 780,2007,3072,2560,7,36,180,70,3,18,195
Olympus Stylus 790 SW,2007,3072,2560,7,38,114,50,7,14,155
Olympus Stylus 800,2005,3264,2560,8,38,114,50,3,19,200
Olympus Stylus 810,2006,3264,2560,8,35,105,60,10,28,185
