,Date,Max.TemperatureC,Min.TemperatureC,Max.Gust.SpeedKPH,Events,Season
1,1996-06-30,,,,,Summer
2,1996-07-01,19,11,28,Rain,Summer
3,1996-07-02,20,10,,,Summer
4,1996-07-03,19,12,,Rain,Summer
5,1996-07-04,19,12,25,Rain,Summer
6,1996-07-05,,11,,Rain,Summer
7,1996-07-06,19,11,,Rain,Summer
8,1996-07-07,19,11,,Rain,Summer
9,1996-07-08,20,11,,,Summer
10,1996-07-09,21,12,,Rain,Summer
11,1996-07-10,26,13,,,Summer
12,1996-07-11,24,15,,,Summer
13,1996-07-12,23,15,,Rain,Summer
14,1996-07-13,25,16,21,,Summer
15,1996-07-14,25,17,,,Summer
16,1996-07-15,25,13,,,Summer
17,1996-07-16,22,11,,,Summer
18,1996-07-17,25,10,,,Summer
19,1996-07-18,27,11,,,Summer
20,1996-07-19,26,13,,,Summer
21,1996-07-20,29,13,,,Summer
22,1996-07-21,30,15,,,Summer
23,1996-07-22,31,17,25,,Summer
24,1996-07-23,28,18,,Rain-Thunderstorm,Summer
25,1996-07-24,22,14,,Rain,Summer
26,1996-07-25,25,12,,,Summer
27,1996-07-26,28,15,,,Summer
28,1996-07-27,23,16,,Rain,Summer
29,1996-07-28,23,16,,Rain,Summer
30,1996-07-29,25,17,,Rain,Summer
31,1996-07-30,24,16,,Rain,Summer
32,1996-07-31,26,16,,Rain,Summer
33,1996-08-01,23,13,,Rain,Summer
34,1996-08-02,21,11,,,Summer
35,1996-08-03,24,13,,,Summer
36,1996-08-04,25,13,,,Summer
37,1996-08-05,27,15,29,,Summer
38,1996-08-06,21,15,30,Rain,Summer
39,1996-08-07,22,14,,,Summer
40,1996-08-08,23,12,,,Summer
41,1996-08-09,21,15,24,Rain,Summer
42,1996-08-10,23,16,25,Rain,Summer
43,1996-08-11,22,15,,Rain-Thunderstorm,Summer
44,1996-08-12,20,14,,Rain,Summer
45,1996-08-13,32,14,,,Summer
46,1996-08-14,21,16,,,Summer
47,1996-08-15,21,15,,,Summer
48,1996-08-16,27,15,,,Summer
49,1996-08-17,28,14,,Fog,Summer
50,1996-08-18,30,16,,,Summer
51,1996-08-19,31,17,,,Summer
52,1996-08-20,24,17,,Rain,Summer
53,1996-08-21,25,13,23,,Summer
54,1996-08-22,23,13,,Rain,Summer
55,1996-08-23,22,15,,Rain,Summer
56,1996-08-24,21,14,25,Rain,Summer
57,1996-08-25,20,14,21,Rain,Summer
58,1996-08-26,21,12,,Rain,Summer
59,1996-08-27,21,11,,Fog-Thunderstorm,Summer
60,1996-08-28,21,11,,Fog,Summer
61,1996-08-29,18,13,28,Rain,Summer
62,1996-08-30,18,12,,,Summer
63,1996-08-31,19,9,,,Summer
64,1996-09-01,21,10,,,Summer
65,1996-09-02,22,15,,Rain,Summer
66,1996-09-03,21,15,,Rain,Summer
67,1996-09-04,19,15,,Rain,Summer
68,1996-09-05,23,14,,,Summer
69,1996-09-06,21,11,,,Summer
70,1996-09-07,21,12,,,Summer
71,1996-09-08,20,13,,Rain,Summer
72,1996-09-09,19,13,,Rain,Summer
73,1996-09-10,17,12,,Rain,Summer
74,1996-09-11,20,9,,Rain,Summer
75,1996-09-12,18,14,,Rain,Summer
76,1996-09-13,18,8,,,Summer
77,1996-09-14,19,7,,,Summer
78,1996-09-15,22,8,,Fog,Summer
79,1996-09-16,22,10,,,Summer
80,1996-09-17,19,11,30,,Summer
81,1996-09-18,16,10,33,Rain,Summer
82,1996-09-19,14,10,23,Rain,Summer
83,1996-09-20,15,12,,,Summer
84,1996-09-21,17,13,,,Summer
85,1996-09-22,15,10,,,Autumn
86,1996-09-23,16,10,,Rain,Autumn
87,1996-09-24,18,5,,Fog,Autumn
88,1996-09-25,19,13,,Rain,Autumn
89,1996-09-26,17,11,,Rain,Autumn
90,1996-09-27,20,12,23,Rain,Autumn
91,1996-09-28,20,11,24,Rain,Autumn
92,1996-09-29,19,14,38,Rain,Autumn
93,1996-09-30,15,11,,Rain,Autumn
94,1996-10-01,17,9,,Fog-Rain,Autumn
95,1996-10-02,18,6,,Fog,Autumn
96,1996-10-03,16,11,31,Rain,Autumn
97,1996-10-04,15,8,,Rain,Autumn
98,1996-10-05,15,7,,,Autumn
99,1996-10-06,13,6,,Rain,Autumn
100,1996-10-07,16,11,,,Autumn
101,1996-10-08,18,13,,,Autumn
102,1996-10-09,16,10,,Rain,Autumn
103,1996-10-10,15,9,,,Autumn
104,1996-10-11,16,6,,,Autumn
105,1996-10-12,17,10,,Fog,Autumn
106,1996-10-13,19,12,31,,Autumn
107,1996-10-14,20,11,,Rain,Autumn
108,1996-10-15,16,9,26,Rain,Autumn
109,1996-10-16,15,9,,Rain,Autumn
110,1996-10-17,15,7,,,Autumn
111,1996-10-18,16,7,30,Rain,Autumn
112,1996-10-19,16,8,25,Rain,Autumn
113,1996-10-20,17,14,,Rain,Autumn
114,1996-10-21,17,11,,Rain,Autumn
115,1996-10-22,18,11,,Rain,Autumn
116,1996-10-23,20,9,,Fog,Autumn
117,1996-10-24,19,10,,Rain,Autumn
118,1996-10-25,17,13,,Rain,Autumn
119,1996-10-26,15,9,25,,Autumn
120,1996-10-27,17,12,39,Rain,Autumn
121,1996-10-28,16,12,58,Rain,Autumn
122,1996-10-29,13,10,41,Rain,Autumn
123,1996-10-30,12,3,,Rain,Autumn
124,1996-10-31,15,9,33,Rain,Autumn
125,1996-11-01,16,8,,,Autumn
126,1996-11-02,18,14,31,Rain,Autumn
127,1996-11-03,17,15,32,Rain,Autumn
128,1996-11-04,15,11,33,Rain,Autumn
129,1996-11-05,13,10,36,Rain,Autumn
130,1996-11-06,15,12,43,Rain,Autumn
131,1996-11-07,12,9,31,Rain,Autumn
132,1996-11-08,11,2,,,Autumn
133,1996-11-09,12,6,20,,Autumn
134,1996-11-10,7,3,,Rain,Autumn
135,1996-11-11,8,-1,,Fog,Autumn
136,1996-11-12,9,6,34,Rain,Autumn
137,1996-11-13,9,2,,Rain,Autumn
138,1996-11-14,9,-1,,,Autumn
139,1996-11-15,10,3,,,Autumn
140,1996-11-16,8,-1,,Fog,Autumn
141,1996-11-17,9,4,,Rain,Autumn
142,1996-11-18,7,1,,Rain,Autumn
143,1996-11-19,7,-2,37,Rain-Snow,Autumn
144,1996-11-20,7,1,30,Rain,Autumn
145,1996-11-21,7,0,,,Autumn
146,1996-11-22,7,-3,,Rain,Autumn
147,1996-11-23,7,1,,Rain,Autumn
148,1996-11-24,9,0,,Rain,Autumn
149,1996-11-25,10,7,28,Rain,Autumn
150,1996-11-26,8,4,26,,Autumn
151,1996-11-27,6,1,,Rain,Autumn
152,1996-11-28,7,-2,,Fog,Autumn
153,1996-11-29,11,4,23,Rain,Autumn
154,1996-11-30,11,5,33,Rain,Autumn
155,1996-12-01,12,3,,Fog-Rain,Autumn
156,1996-12-02,10,5,31,,Autumn
157,1996-12-03,13,5,34,Rain,Autumn
158,1996-12-04,10,3,29,,Autumn
159,1996-12-05,8,1,,,Autumn
160,1996-12-06,4,2,,,Autumn
161,1996-12-07,7,2,,,Autumn
162,1996-12-08,6,4,,,Autumn
163,1996-12-09,5,3,,,Autumn
164,1996-12-10,5,3,,,Autumn
165,1996-12-11,5,3,,,Autumn
166,1996-12-12,5,2,,,Autumn
167,1996-12-13,5,1,,Rain,Autumn
168,1996-12-14,5,-3,,,Autumn
169,1996-12-15,9,6,,Rain,Autumn
170,1996-12-16,7,6,,Rain,Autumn
171,1996-12-17,7,5,,,Autumn
172,1996-12-18,,7,,Fog-Rain,Autumn
173,1996-12-19,9,7,,Rain,Autumn
174,1996-12-20,8,4,28,Rain,Winter
175,1996-12-21,4,3,31,Rain,Winter
176,1996-12-22,6,3,29,,Winter
177,1996-12-23,5,0,33,,Winter
178,1996-12-24,3,-1,34,,Winter
179,1996-12-25,5,0,,Rain-Snow,Winter
180,1996-12-26,2,-3,,,Winter
181,1996-12-27,4,-2,,Rain-Snow,Winter
182,1996-12-28,3,-2,,,Winter
183,1996-12-29,3,-3,,Rain-Snow,Winter
184,1996-12-30,4,0,26,Rain-Snow,Winter
185,1996-12-31,0,-4,33,Snow,Winter
187,1997-01-01,-2,-4,30,Snow,Winter
188,1997-01-02,1,-5,,,Winter
189,1997-01-03,-1,-3,,Snow,Winter
190,1997-01-04,1,-1,26,Snow,Winter
191,1997-01-05,3,0,,Snow,Winter
192,1997-01-06,,1,,Snow,Winter
193,1997-01-07,1,-1,,Snow,Winter
194,1997-01-08,0,-3,,Snow,Winter
195,1997-01-09,1,-2,,Rain-Snow,Winter
196,1997-01-10,1,0,,Snow,Winter
197,1997-01-11,4,0,,Fog-Rain,Winter
198,1997-01-12,8,6,,Fog,Winter
199,1997-01-13,11,4,,,Winter
200,1997-01-14,7,0,,Fog,Winter
201,1997-01-15,2,-3,,Fog,Winter
202,1997-01-16,9,-2,,Fog,Winter
203,1997-01-17,8,3,,Rain,Winter
204,1997-01-18,9,4,,Rain,Winter
205,1997-01-19,6,4,,Fog-Rain,Winter
206,1997-01-20,7,3,,Rain,Winter
207,1997-01-21,6,2,,,Winter
208,1997-01-22,8,3,,Fog-Rain,Winter
209,1997-01-23,9,6,,,Winter
210,1997-01-24,11,2,,Fog,Winter
211,1997-01-25,11,1,,Fog,Winter
212,1997-01-26,8,1,,Fog,Winter
213,1997-01-27,8,1,,Fog-Rain,Winter
214,1997-01-28,8,3,,,Winter
215,1997-01-29,6,4,,Rain,Winter
216,1997-01-30,5,4,,,Winter
217,1997-01-31,5,4,,,Winter
218,1997-02-01,7,4,,,Winter
219,1997-02-02,8,3,,Rain,Winter
220,1997-02-03,9,-2,,Fog,Winter
221,1997-02-04,10,7,34,Rain,Winter
222,1997-02-05,10,3,,Rain,Winter
223,1997-02-06,10,6,,Rain,Winter
224,1997-02-07,11,6,,Rain,Winter
225,1997-02-08,10,-2,,Fog,Winter
226,1997-02-09,12,5,,Rain,Winter
227,1997-02-10,11,5,41,Rain,Winter
228,1997-02-11,12,5,31,Rain,Winter
229,1997-02-12,12,10,37,Rain,Winter
230,1997-02-13,9,5,50,Rain,Winter
231,1997-02-14,7,2,,,Winter
232,1997-02-15,10,1,,,Winter
233,1997-02-16,8,4,30,Rain,Winter
234,1997-02-17,10,7,36,Rain,Winter
235,1997-02-18,11,3,41,Rain,Winter
236,1997-02-19,10,3,52,Rain,Winter
237,1997-02-20,12,6,36,Rain,Winter
238,1997-02-21,14,10,37,Rain,Winter
239,1997-02-22,11,8,,Rain,Winter
240,1997-02-23,14,9,48,Rain,Winter
241,1997-02-24,11,5,55,Rain,Winter
242,1997-02-25,14,9,41,Rain,Winter
243,1997-02-26,12,5,51,Rain,Winter
244,1997-02-27,11,3,,,Winter
245,1997-02-28,13,8,,,Winter
246,1997-03-01,12,5,34,,Winter
247,1997-03-02,13,9,43,Rain,Winter
248,1997-03-03,10,4,,Rain,Winter
249,1997-03-04,11,5,,Rain,Winter
250,1997-03-05,12,8,,Rain,Winter
251,1997-03-06,12,5,,,Winter
252,1997-03-07,12,7,,,Winter
253,1997-03-08,12,9,,Rain,Winter
254,1997-03-09,13,7,,Rain,Winter
255,1997-03-10,15,5,,Fog,Winter
256,1997-03-11,17,4,,Fog,Winter
257,1997-03-12,15,4,,Fog,Winter
258,1997-03-13,13,8,,,Winter
259,1997-03-14,14,10,,Rain,Winter
260,1997-03-15,17,9,,,Winter
261,1997-03-16,16,9,,,Winter
262,1997-03-17,17,6,,Fog,Winter
263,1997-03-18,14,8,29,Rain,Winter
264,1997-03-19,13,8,34,Rain,Winter
265,1997-03-20,14,2,,Rain,Spring
266,1997-03-21,12,5,,,Spring
267,1997-03-22,13,3,,Fog,Spring
268,1997-03-23,,7,,Rain,Spring
269,1997-03-24,11,4,,Rain,Spring
270,1997-03-25,13,4,,Rain,Spring
271,1997-03-26,14,9,30,Rain,Spring
272,1997-03-27,17,5,33,Fog-Rain,Spring
273,1997-03-28,12,5,38,,Spring
274,1997-03-29,13,2,,,Spring
275,1997-03-30,15,3,,,Spring
276,1997-03-31,16,3,,Fog,Spring
277,1997-04-01,17,4,,Fog,Spring
278,1997-04-02,17,5,,,Spring
279,1997-04-03,14,7,29,,Spring
280,1997-04-04,13,4,,Rain,Spring
281,1997-04-05,17,10,39,,Spring
282,1997-04-06,14,7,,,Spring
283,1997-04-07,15,3,,,Spring
284,1997-04-08,17,3,,,Spring
285,1997-04-09,20,5,,,Spring
286,1997-04-10,21,5,,,Spring
287,1997-04-11,15,4,,,Spring
288,1997-04-12,13,2,,,Spring
289,1997-04-13,17,6,,,Spring
290,1997-04-14,15,7,,,Spring
291,1997-04-15,13,7,21,,Spring
292,1997-04-16,15,3,,,Spring
293,1997-04-17,14,6,,,Spring
294,1997-04-18,12,3,,Fog,Spring
295,1997-04-19,10,6,28,,Spring
296,1997-04-20,9,1,,,Spring
297,1997-04-21,14,-1,,,Spring
298,1997-04-22,12,5,,,Spring
299,1997-04-23,15,6,,Rain,Spring
300,1997-04-24,16,6,,,Spring
301,1997-04-25,11,7,,Rain,Spring
302,1997-04-26,13,8,,Fog-Rain,Spring
303,1997-04-27,19,10,,,Spring
304,1997-04-28,18,12,50,Rain,Spring
305,1997-04-29,17,12,30,,Spring
306,1997-04-30,20,7,22,,Spring
307,1997-05-01,23,8,,Fog,Spring
308,1997-05-02,25,10,,,Spring
309,1997-05-03,25,11,24,Rain,Spring
310,1997-05-04,19,13,34,Rain,Spring
311,1997-05-05,19,12,33,Rain,Spring
312,1997-05-06,9,4,25,Rain,Spring
313,1997-05-07,12,1,28,Rain,Spring
314,1997-05-08,12,6,,Rain,Spring
315,1997-05-09,14,6,,Rain-Thunderstorm,Spring
316,1997-05-10,15,8,34,Rain,Spring
317,1997-05-11,16,8,43,Rain,Spring
318,1997-05-12,15,8,29,Rain,Spring
319,1997-05-13,18,7,,Rain,Spring
320,1997-05-14,19,7,,Fog,Spring
321,1997-05-15,18,8,,Rain,Spring
322,1997-05-16,22,11,,Rain-Thunderstorm,Spring
323,1997-05-17,26,13,,Fog,Spring
324,1997-05-18,20,13,,Rain,Spring
325,1997-05-19,19,11,,Rain,Spring
326,1997-05-20,15,9,,Fog-Rain,Spring
327,1997-05-21,14,11,,Rain,Spring
328,1997-05-22,14,8,,Rain,Spring
329,1997-05-23,16,8,,Rain,Spring
330,1997-05-24,16,6,,,Spring
331,1997-05-25,19,5,,,Spring
332,1997-05-26,23,7,,,Spring
333,1997-05-27,19,11,,,Spring
334,1997-05-28,18,7,,,Spring
335,1997-05-29,23,8,,,Spring
336,1997-05-30,24,10,,,Spring
337,1997-05-31,23,10,32,,Spring
338,1997-06-01,20,11,45,,Spring
339,1997-06-02,22,13,41,Rain,Spring
340,1997-06-03,22,10,,,Spring
341,1997-06-04,22,10,,,Spring
342,1997-06-05,27,13,44,Rain,Spring
343,1997-06-06,26,14,39,Rain,Spring
344,1997-06-07,23,16,28,Rain,Spring
345,1997-06-08,21,14,23,Rain,Spring
346,1997-06-09,22,10,,Fog,Spring
347,1997-06-10,26,14,,Rain,Spring
348,1997-06-11,24,17,,Rain-Thunderstorm,Spring
349,1997-06-12,20,15,26,Rain,Spring
350,1997-06-13,22,15,,,Spring
351,1997-06-14,18,13,,Rain,Spring
352,1997-06-15,18,11,,Rain,Spring
353,1997-06-16,20,11,,Rain,Spring
354,1997-06-17,20,12,,Rain,Spring
355,1997-06-18,21,12,,,Spring
356,1997-06-19,16,12,,Rain,Spring
357,1997-06-20,16,8,30,Rain,Spring
358,1997-06-21,18,12,34,Rain,Summer
359,1997-06-22,17,12,30,Rain-Thunderstorm,Summer
360,1997-06-23,20,12,,Rain,Summer
361,1997-06-24,18,10,,,Summer
362,1997-06-25,16,12,30,Rain,Summer
363,1997-06-26,16,13,,Rain,Summer
364,1997-06-27,13,12,33,Rain,Summer
365,1997-06-28,16,11,,Rain,Summer
366,1997-06-29,18,13,,,Summer
367,1997-06-30,16,12,,,Summer
368,1997-07-01,18,12,,Rain,Summer
369,1997-07-02,18,11,,Rain,Summer
370,1997-07-03,17,10,28,Rain,Summer
371,1997-07-04,18,12,,Rain,Summer
372,1997-07-05,22,11,,,Summer
373,1997-07-06,25,12,,,Summer
374,1997-07-07,27,15,,,Summer
375,1997-07-08,27,15,,Rain,Summer
376,1997-07-09,26,16,,,Summer
377,1997-07-10,23,15,,,Summer
378,1997-07-11,24,13,,,Summer
379,1997-07-12,24,13,,Fog,Summer
380,1997-07-13,23,16,,Rain,Summer
381,1997-07-14,24,15,,,Summer
382,1997-07-15,25,15,,Rain,Summer
383,1997-07-16,22,15,,Rain,Summer
384,1997-07-17,20,15,,Rain,Summer
385,1997-07-18,21,12,29,Rain,Summer
386,1997-07-19,24,14,,,Summer
387,1997-07-20,25,13,,,Summer
388,1997-07-21,25,14,,,Summer
389,1997-07-22,26,15,,,Summer
390,1997-07-23,27,16,,,Summer
391,1997-07-24,23,18,,Rain,Summer
392,1997-07-25,23,14,,,Summer
393,1997-07-26,21,13,,Rain,Summer
394,1997-07-27,25,16,,Rain,Summer
395,1997-07-28,25,13,,,Summer
396,1997-07-29,27,15,,,Summer
397,1997-07-30,24,16,30,Rain,Summer
398,1997-07-31,17,14,,Rain,Summer
399,1997-08-01,24,15,23,Rain,Summer
400,1997-08-02,23,15,,Rain,Summer
401,1997-08-03,21,15,,Rain,Summer
402,1997-08-04,22,15,28,Rain,Summer
403,1997-08-05,23,16,29,Rain,Summer
404,1997-08-06,26,16,25,Rain-Thunderstorm,Summer
405,1997-08-07,27,18,,Rain,Summer
406,1997-08-08,31,18,,,Summer
407,1997-08-09,28,19,,,Summer
408,1997-08-10,31,18,,,Summer
409,1997-08-11,30,21,,Rain,Summer
410,1997-08-12,28,18,,Rain,Summer
411,1997-08-13,27,20,,Rain-Thunderstorm,Summer
412,1997-08-14,26,15,,,Summer
413,1997-08-15,28,15,,,Summer
414,1997-08-16,29,17,,Fog,Summer
415,1997-08-17,25,19,,Rain,Summer
416,1997-08-18,30,18,,,Summer
417,1997-08-19,30,19,,,Summer
418,1997-08-20,29,18,,,Summer
419,1997-08-21,27,18,,Rain,Summer
420,1997-08-22,25,20,,Rain,Summer
421,1997-08-23,27,20,,,Summer
422,1997-08-24,25,20,,Rain,Summer
423,1997-08-25,22,18,,Rain,Summer
424,1997-08-26,23,12,,Fog,Summer
425,1997-08-27,20,14,,Rain,Summer
426,1997-08-28,20,12,31,Rain-Thunderstorm,Summer
427,1997-08-29,21,14,32,Rain,Summer
428,1997-08-30,21,15,,Rain,Summer
429,1997-08-31,24,14,37,Rain,Summer
430,1997-09-01,21,15,,,Summer
431,1997-09-02,20,12,,,Summer
432,1997-09-03,19,14,,Rain,Summer
433,1997-09-04,22,16,,Rain,Summer
434,1997-09-05,20,12,,Rain,Summer
435,1997-09-06,21,10,,Fog,Summer
436,1997-09-07,22,14,,Rain,Summer
437,1997-09-08,22,9,,,Summer
438,1997-09-09,22,13,,,Summer
439,1997-09-10,21,10,,,Summer
440,1997-09-11,20,12,,Rain,Summer
441,1997-09-12,20,10,30,Rain,Summer
442,1997-09-13,17,7,28,,Summer
443,1997-09-14,,7,,,Summer
444,1997-09-15,20,9,,,Summer
445,1997-09-16,22,12,,,Summer
446,1997-09-17,22,11,,,Summer
447,1997-09-18,25,11,,Fog-Rain,Summer
448,1997-09-19,18,16,,Rain,Summer
449,1997-09-20,19,12,,Rain,Summer
450,1997-09-21,19,9,,,Summer
451,1997-09-22,21,9,,,Summer
452,1997-09-23,21,10,,,Autumn
453,1997-09-24,20,10,,,Autumn
454,1997-09-25,20,14,,,Autumn
455,1997-09-26,22,13,,,Autumn
456,1997-09-27,19,13,,,Autumn
457,1997-09-28,20,10,,Fog,Autumn
458,1997-09-29,23,13,,Fog-Rain,Autumn
459,1997-09-30,22,17,,,Autumn
460,1997-10-01,25,16,25,,Autumn
461,1997-10-02,20,13,,,Autumn
462,1997-10-03,18,12,,,Autumn
463,1997-10-04,20,10,,,Autumn
464,1997-10-05,18,10,,,Autumn
465,1997-10-06,21,11,24,Rain,Autumn
466,1997-10-07,17,12,26,Rain,Autumn
467,1997-10-08,18,12,31,Rain,Autumn
468,1997-10-09,18,16,37,Rain,Autumn
469,1997-10-10,17,11,36,Rain,Autumn
470,1997-10-11,12,9,,Rain,Autumn
471,1997-10-12,12,8,25,Rain,Autumn
472,1997-10-13,12,6,26,Rain,Autumn
473,1997-10-14,10,3,,Rain,Autumn
