Date,Temperature,DewPoint,Humidity,Sea Level PressureIn,VisibilityMiles,WindSpeedMPH,Event
1/1/2016,38,23,52,30.03,10,8,Rain
1/2/2016,36,18,46,30.02,10,7,Sunny
1/3/2016,,,47,29.86,10,8,Snow
1/6/2016,33,,35,,10,4,Rain
1/7/2016,39,11,33,30.28,10,2,Cloudy
1/8/2016,39,29,,30.2,10,4,Sunny
1/9/2016,44,38,77,30.16,,8,
1/10/2016,,46,,,4,,Snow
1/11/2016,33,8,37,29.92,10,,
1/12/2016,35,,53,29.85,10,6,
1/13/2016,26,4,,29.94,10,10,Rain
1/14/2016,,12,47,,,,Rain
1/17/2016,36,23,66,29.78,8,6,Snow
1/18/2016,25,6,53,29.83,9,,Sunny